#,Stage,Match,Battle ID,Blue Team,Ban 1,Ban 2,Ban 3,Pick 1,Pick 2,Pick 3,Ban 4,Ban 5,Pick 4,Pick 5,Gold Player,Gold Hero,Gold Kills,Gold Deaths,Gold Assists,Gold Gold,Gold Damage,Gold Turret,Gold Dmg Taken,Jungler Player,Jungler Hero,Jungler Kills,Jungler Deaths,Jungler Assists,Jungler Gold,Jungler Damage,Jungler Turret,Jungler Dmg Taken,EXP Laner Player,EXP Laner Hero,EXP Laner Kills,EXP Laner Deaths,EXP Laner Assists,EXP Laner Gold,EXP Laner Damage,EXP Laner Turret,EXP Laner Dmg Taken,Mid Laner Player,Mid Laner Hero,Mid Laner Kills,Mid Laner Deaths,Mid Laner Assists,Mid Laner Gold,Mid Laner Damage,Mid Laner Turret,Mid Laner Dmg Taken,Roamer Player,Roamer Hero,Roamer Kills,Roamer Deaths,Roamer Assists,Roamer Gold,Roamer Damage,Roamer Turret,Roamer Dmg Taken,Red Team,Ban 1,Ban 2,Ban 3,Pick 1,Pick 2,Pick 3,Ban 4,Ban 5,Pick 4,Pick 5,Gold Player,Gold Hero,Gold Kills,Gold Deaths,Gold Assists,Gold Gold,Gold Damage,Gold Turret,Gold Dmg Taken,Jungler Player,Jungler Hero,Jungler Kills,Jungler Deaths,Jungler Assists,Jungler Gold,Jungler Damage,Jungler Turret,Jungler Dmg Taken,EXP Laner Player,EXP Laner Hero,EXP Laner Kills,EXP Laner Deaths,EXP Laner Assists,EXP Laner Gold,EXP Laner Damage,EXP Laner Turret,EXP Laner Dmg Taken,Mid Laner Player,Mid Laner Hero,Mid Laner Kills,Mid Laner Deaths,Mid Laner Assists,Mid Laner Gold,Mid Laner Damage,Mid Laner Turret,Mid Laner Dmg Taken,Roamer Player,Roamer Hero,Roamer Kills,Roamer Deaths,Roamer Assists,Roamer Gold,Roamer Damage,Roamer Turret,Roamer Dmg Taken,Game Duration,Winner,Include
111,UR Vis DE 9,3,765277966037360956,SAGE Caritas,Suyou,Joy,Harith,Lukas,Kalea,Zhuxin,Hylos,Moskov,Estes,Brody,[SAGE] @chaiyixin,Brody,4,2,9,7369,38497,11437,28346,[SAGE] Slur,Lukas,10,1,10,9897,65563,9575,54961,[SAGE] MASTER NEP,Kalea,6,3,9,7905,40741,6185,73484,[SAGE] Poseyslap,Zhuxin,5,2,14,7454,45082,4068,51218,[SAGE] FLYNNN.,Estes,0,3,19,6266,12182,4698,34170,Vanguards Esports,Wanwan,Karrie,Irithel,Gatotkaca,Selena,Hayabusa,Mathilda,Chip,Granger,X.Borg,[VNG] gumayuzi,Granger,2,4,3,7858,46155,0,34010,[VNG] Dash,Hayabusa,3,5,2,6277,34211,0,38321,[VNG] HulyoCy,X.Borg,3,4,4,6444,49616,0,75757,[VNG] Hadria,Selena,2,5,3,4991,23330,0,31690,[VNG] Kazai,Gatotkaca,1,7,4,6444,30155,0,126740,11:26:00,Blue,
112,UR Vis DE 10,1,764687743041606963,BCC E-sports,,,,,,,,,,,[[BCC]] Super Dee,Harith,10,3,5,18389,76577,15245,66190,[[BCC]] Izaan.,Lukas,2,8,5,13545,56416,9876,87164,[[BCC]] RayLeigh,Cici,2,4,4,12830,26682,250,98413,[[BCC]] Del.,Novaria,1,4,11,13257,50253,0,46957,[[BCC]] Sigbin,Tigreal,0,3,11,12313,11460,718,94668,Drago De Maasin,,,,,,,,,,,[[DDM]] Judoy.,Granger,4,0,4,14856,44056,16282,39595,[[DDM]] GALOTEEZEEY,Hayabusa,12,3,4,18492,85770,7989,40931,[[DDM]] Dongkite,Phoveus,1,5,7,9623,36305,561,141486,[[DDM]] Kikyo.,Xavier,4,5,8,11972,69112,391,55985,[[DDM]] jermkite,Jawhead,1,2,12,9601,28309,0,116674,21;40,Blue,
113,UR Vis DE 10,2,765130730263485982,BCC E-sports,,,,,,,,,,,[[BCC]] Super Dee,Harith,5,0,5,8470,35842,17303,16850,[[BCC]] Izaan.,Alpha,1,1,5,9370,23556,3871,33080,[[BCC]] RayLeigh,Hylos,2,3,8,5915,14100,664,69808,[[BCC]] Del.,Zhuxin,2,2,6,6560,185362,3296,23697,[[BCC]] Sigbin,Kalea,2,2,8,5871,11312,3556,48083,Drago De Maasin,,,,,,,,,,,[[DDM]] Judoy.,Karrie,2,2,3,6039,19808,0,23422,[[DDM]] GALOTEEZEEY,Lukas,4,3,2,6215,19425,3396,34580,[[DDM]] Dongkite,Phoveus,0,3,5,4504,14040,495,40526,[[DDM]] Kikyo.,Yve,1,1,7,5309,39183,448,16683,[[DDM]] jermkite,Jawhead,1,3,6,4451,20484,0,51859,10:33:00,Blue,
114,UR Vis DE 10,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,UR Vis DE 11,1,765870233437547907,SAGE Caritas,,,,,,,,,,,[SAGE] @chaiyixin,Granger,19,2,4,11865,78398,9375,39824,[SAGE] Slur,Suyou,5,3,7,10787,39284,26340,55771,[SAGE] MASTER NEP,Gatotkaca,2,4,19,8399,38808,4006,152196,[SAGE] Poseyslap,Cecilion,3,4,19,8622,59773,4465,53473,[SAGE] FLYNNN.,Edith,2,1,19,8595,37490,1874,94027,BCC E-sports,,,,,,,,,,,[[BCC]] Super Dee,Harith,3,6,5,9791,55079,5482,58772,[[BCC]] Izaan.,Alpha,5,10,6,9115,42670,1152,123994,[[BCC]] RayLeigh,Badang,3,4,5,8560,51531,0,122989,[[BCC]] Del.,Zhuxin,2,6,6,8479,38901,0,95742,[[BCC]] Sigbin,Mathilda,1,5,13,8027,31827,1384,75526,17:26:00,Blue,
116,UR Vis DE 11,2,766175760231117771,BCC E-sports,,,,,,,,,,,[[BCC]] Super Dee,Natan,3,4,4,6620,31494,1664,29744,[[BCC]] Izaan.,Lukas,3,6,3,5653,37282,0,58581,[[BCC]] RayLeigh,Badang,3,6,4,5684,25725,0,80306,[[BCC]] Del.,Cecilion,5,2,9,7565,60778,0,36924,[[BCC]] Sigbin,Tigreal,1,3,10,5699,16804,0,79126,SAGE Caritas,,,,,,,,,,,[SAGE] @chaiyixin,Moskov,5,1,5,9460,35558,21676,22691,[SAGE] Slur,Julian,10,1,5,9372,46874,1109,40591,[SAGE] MASTER NEP,Gatotkaca,3,3,7,6790,34548,1276,98086,[SAGE] Poseyslap,Valir,3,2,11,7497,46114,4766,44116,[SAGE] FLYNNN.,Kalea,0,8,9,5752,15205,890,64801,10:28:00,Red,
117,UR Vis DE 11,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,UR Vis DE 12,1,767429774717438925,USC Vamos Thunder,,,,,,,,,,,[USC] SHIN TORU,Irithel,3,0,4,11057,38695,24294,16275,[USC] LUKETZYY,Suyou,4,1,4,13078,38186,14337,25913,[USC] SYV GOD,Hilda,2,2,3,7174,16796,4863,78073,[USC] DAZA1,Valir,2,0,3,8456,38981,2412,15646,[USC] DIGGER,Chip,0,1,6,6629,13862,219,60470,UCMN HOM1ES,,,,,,,,,,,,Karrie,0,4,2,6268,12253,0,33227,[UCMNH] MATTT,Joy,0,1,2,7392,16096,0,41235,,Cici,1,4,2,6567,26083,0,70914,,Zhuxin,3,1,0,6597,28979,0,25088,[UCMNH] TURKISH MINDSET,Carmilla,0,1,4,6031,11875,0,52196,13:44:00,Blue,
119,UR Vis DE 12,2,767956603995903180,UCMN HOM1ES,,,,,,,,,,,,Irithel,0,3,3,5561,17653,1813,31460,[UCMNH] MATTT,Lukas,3,5,0,5659,23798,0,48982,,Hylos,1,4,4,5730,18157,0,123927,,Cecilion,0,4,4,5271,31358,0,31671,[UCMNH] TURKISH MINDSET,Badang,2,6,3,4965,15685,0,67160,USC Vamos Thunder,,,,,,,,,,,[USC] SHIN TORU,Natan,11,0,1,10799,82852,14741,15077,[USC] LUKETZYY,Ling,5,1,6,10303,31309,14785,20228,[USC] SYV GOD,Phoveus,2,3,10,6010,43752,655,65208,[USC] DAZA1,Selena,2,1,13,6080,31741,1995,13365,[USC] DIGGER,Gatotkaca,2,1,16,6216,205253,987,66810,10:50:00,Red,
120,UR Vis DE 12,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,UR Vis DE 13,1,DEFAULT,UCMN HOM1ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAGE Caritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
122,UR Vis DE 13,2,768852409619800470,SAGE Caritas,,,,,,,,,,,[SAGE] Rize,Beatrix,12,2,2,11339,82146,23780,39611,[SAGE] Slur,Hayabusa,6,2,4,10650,42288,8103,21514,[SAGE] MASTER NEP,Kalea,1,4,7,6713,22796,1451,67311,[SAGE] @chaiyixin,Novaria,0,1,15,8030,65240,3238,14757,[SAGE] FLYNNN.,Gatotkaca,1,1,15,6580,18024,2617,80935,UCMN HOM1ES,,,,,,,,,,,,Irithel,0,5,3,6333,25667,5576,49505,[UCMNH] MATTT,Lukas,6,4,2,8366,36503,5599,64639,,Hylos,2,3,6,7360,29507,482,137997,,Xavier,2,3,4,6664,32409,299,39834,[UCMNH] TURKISH MINDSET,Floryn,0,5,8,5929,8292,0,35507,11:58:00,Blue,
123,UR Vis DE 13,3,770494457221444191,UCMN HOM1ES,,,,,,,,,,,,Beatrix,2,3,6,12916,53370,9558,59932,[UCMNH] MATTT,Hayabusa,8,0,4,15068,68998,4358,61126,,Cici,1,2,8,11631,69187,7172,158468,,Pharsa,3,3,9,11177,70101,0,50872,[UCMNH] TURKISH MINDSET,Jawhead,5,3,7,10568,21282,900,139802,SAGE Caritas,,,,,,,,,,,[SAGE] Rize,Granger,6,1,0,13898,96876,5226,51515,[SAGE] Slur,Lukas,4,5,3,12726,34229,0,94096,[SAGE] MASTER NEP,Badang,1,5,8,9642,45344,458,131230,[SAGE] @chaiyixin,Novaria,0,4,5,10342,100659,694,29106,[SAGE] FLYNNN.,Hylos,0,4,9,9107,21892,528,170900,20:11:00,Blue,
124,UR Vis DE 14,1,771770341681234331,UCMN HOM1ES,,Kalea,Mathilda,Fanny,Franco,Beatrix,Hayabusa,,Edith,Vale,,Beatrix,1,4,2,6429,23419,426,39019,[UCMNH] Kael,Fanny,2,3,2,6193,17793,2444,34694,,Edith,1,3,6,5528,26237,0,76685,,Vale,3,1,1,5367,22384,0,21267,[UCMNH] TURKISH MINDSET,Franco,1,2,5,4968,9114,0,55905,USC Vamos Thunder,Zhuxin,Faramis,Floryn,Badang,Selena,Gatotkaca,Chip,Jawhead,Moskov,Lukas,[USC] SHIN TORU,Moskov,3,1,2,10637,36048,31410,27384,[USC] LUKETZYY,Lukas,5,1,5,10670,35497,8386,32258,[USC] SYV GOD,Badang,0,2,6,5923,25816,2004,41452,[USC] DAZA1,Selena,4,1,3,6849,35318,678,8971,[USC] DIGGER,Gatotkaca,1,3,8,5920,16432,0,56794,11:33:00,Red,
125,UR Vis DE 14,2,772165156549920602,USC Vamos Thunder,Floryn,Mathilda,Jawhead,Harith,Suyou,Vale,Faramis,Zhuxin,Guinivere,Paquito,[USC] LUKETZYY,Harith,4,4,2,9136,43113,5846,37571,[USC] SHIN TORU,Suyou,6,0,8,11572,47840,8924,40907,[USC] SYV GOD,Paquito,11,2,0,8668,58613,7505,24636,[USC] DAZA1,Vale,4,3,4,8095,34176,1921,30190,[USC] DIGGER,Guinivere,2,2,4,6046,17512,0,35791,UCMN HOM1ES,,,Chip,Lukas,Hayabusa,Irithel,Kalea,Badang,Johnson,Xavier,,Irithel,2,7,2,7134,22424,0,46739,[UCMNH] Kael,Hayabusa,3,5,1,7969,14967,826,37068,,Lukas,1,5,2,6458,25576,0,80715,,Xavier,3,4,3,6829,39440,0,25377,[UCMNH] TURKISH MINDSET,Johnson,2,7,1,5989,9410,390,58307,12:25:00,Blue,
126,UR Vis DE 14,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,UR Vis DE 15,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,UR Vis DE 15,2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,UR Vis DE 15,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,UR Luz B,1,default,Apex Tamaraws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUAG ALGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
131,UR Luz B,2,810005691034527134,URS DG Nexus,,,,,,,,,,,[URS] Yto.,Moskov,4,0,5,8945,42525,27160,16481,[URS] Neo Stoicie.,Heclurt,4,1,3,9067,24207,8973,14608,[URS] freakinkurttt,Cici,1,1,8,7173,23210,2772,54361,[URS] geewonii,Kimmy,5,1,9,8423,67618,7017,22581,,Gatotkaca,2,2,11,5948,19745,685,69439,URS DG Titans,,,,,,,,,,,,Irithel,0,4,1,5855,29158,0,48792,[URS] godz1lla,Lukas,4,4,1,6619,22050,0,68651,[URS] Too young,Phoveus,0,4,3,4993,19397,0,92604,,Faramis,1,3,3,5689,26683,0,61708,[URS] Adji,Floryn,0,1,4,4499,10517,0,24405,18:47:00,Blue,
132,UR Luz B,3,205726396900205582,Novus Bravehearts,,,,,,,,,,,[NBRVE] Reoshi,Granger,12,3,7,15068,,,,[NBRVE] nari,Masha,3,7,7,11298,,,,[NBRVE] Alaskador,Minsitthar,3,6,17,10083,,,,[NBRVE] ZYWIN GOD,Kimmy,10,7,14,11763,,,,[NBRVE] SEAJEY,Kaja,2,3,14,10155,,,,NCST Foals,,,,,,,,,,,[NCST] ahsi,Irithel,8,5,10,13037,,,,[NCST] jzzzs,Hayabusa,4,6,8,11305,,,,[NCST] мιѕακιツ,Phoveus,9,7,8,9619,,,,[NCST] Matsuuu,Cecilion,1,7,14,8530,,,,[NCST] Kel`,Kalea,4,5,15,8527,,,,16:08:00,Blue,
133,UR Luz B,4,default,BASH HERFTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCST Mustangs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
134,UR Luz B,5,default.,URS DG Void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Galiants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
135,UR Luz B,6,809795156032643556,NUAG Mystic,,,,,,,,,,,[NUAG] snjwu_,Moskov,0,1,2,10136,23895,13528,21771,[NUAG] Zolk Sinatra.,Hayabusa,2,0,2,10508,27840,5028,17873,[NUAG] Balot,Esmeralda,1,3,1,7488,41920,1780,86540,[NUAG] Яeverse.,Kimmy,3,0,3,8941,35997,5686,21529,[NUAG] Rez.,Badang,1,1,4,7117,26247,0,48359,MKL Lakan,,,,,,,,,,,[MKL] Zushi.,Granger,2,0,1,9422,37341,414,30695,[MKL] Szhan.,Joy,1,2,0,6799,10141,2120,35124,[MKL] զմí×օԵíϲ,Gatotkaca,1,2,3,5797,14969,0,71133,[MKL] neekzu,Novaria,0,0,3,6716,25945,0,13043,[MKL] Hiruii,Hilda,1,3,4,5777,23570,0,99640,14:05:00,Blue,
136,UR Luz B,7,721863504602620798,PCU KRONOS,,,,,,,,,,,[PCUD] Zxerylle_,Granger,4,2,2,9684,65792,7351,27232,[PCUD] 30 for 30,Lukas,1,4,7,9610,30459,13201,59125,[PCUD] KitoKaze,Cici,1,5,2,5964,26796,0,64511,[PCUD] Samyaza,Kimmy,1,3,6,7132,36133,2280,29427,[PCUD] RIRI,Kalea,2,4,5,6503,8110,2443,51910,NCST Stallions,,,,,,,,,,,[NCST] Nì Hào Fine Shytt,Ixia,10,2,5,9532,48991,21796,40588,[NCST] Fayeeee,X.Borg,4,1,12,10177,46042,1056,91276,[NCST] EÀRL,Phoveus,2,1,7,7183,24213,4327,80784,[NCST] hannski.,Faramis,2,2,15,7320,21305,3889,45038,[NCST] ᴄᴀʀʟ.,Diggie,0,3,15,6267,13242,1873,41014,10:40:00,Red,
137,UR Luz B,8,721686599194664833,EEYAKIN,,,,,,,,,,,[EE] Banquirigz,Granger,9,1,4,15770,75611,19258,39500,[EE] Kyle AD,Hayabusa,4,2,8,15838,46783,9513,42409,,Badang,0,3,4,8333,19534,3329,82802,[EE] Dwiinnn,Cecilion,1,4,11,9010,43201,3449,45357,[EE] Azicrowo.,Kalea,2,5,10,9128,,653,96360,Sikat,,,,,,,,,,,[SEC] Medic.,Harith,2,2,5,12327,45115,8080,49899,[SEC] Ayasaki,Freya,3,3,7,11383,30250,4106,86008,[SEC] Starboy.,Phoveus,5,2,7,9891,60815,914,117997,,Vexana,4,3,9,10789,48910,1826,38250,[SEC] GARP,Diggie,1,6,12,9174,15664,0,77155,17:54:00,Blue,
138,UR Luz B,9,722243291380738989,Apex Tamaraws,,,,,,,,,,,[APT] IShowFrinzz.p,Harith,7,0,3,10104,38242,29660,18743,,Hayabusa,6,0,5,10698,38433,6164,17565,[APT] NIKUSHIMI,Gloo,0,1,4,6559,13076,789,51691,[APT] RIESKIEEE,Valentina,0,1,6,7028,18603,6915,22221,[APT] Cid.,Hylos,2,0,9,6412,10951,1757,36382,NUAG Soloist,,,,,,,,,,,[NUAG] Jolly Hotdog,Karrie,0,2,1,3828,7708,3680,19261,[NUAG] Sephiroth.,Suyou,1,5,0,6360,22429,0,24835,[NUAG] Ijin.,X.Borg,1,3,0,5117,16799,0,34387,[NUAG] Yuu​​,Selena,0,1,1,4513,26853,0,17106,[NUAG] Cᴀᴇsᴀʀ,Kalea,0,4,1,4336,9732,0,56615,11:24:00,Blue,
139,UR Luz B,10,default,URS DG Nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archon Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,
140,UR Luz B,11,722311748864470297,Novus Bravehearts,,,,,,,,,,,[NBRVE] Reoshi,Harith,6,1,7,9947,,,,[NBRVE] nari,Fanny,16,1,8,11965,,,,[NBRVE] Alaskador,Hylos,0,3,13,5941,,,,[NBRVE] SEAJEY,Valentina,2,2,16,7926,,,,[NBRVE] Alaskador,Hylos,0,3,13,5941,,,,NUAG Valor,,,,,,,,,,,[NUAG] Imago Dei,Kimmy,3,4,5,6681,,,,[NUAG] Rednazz,Lukas,4,9,2,6646,,,,[NUAG] Icaruszxc_,Badang,2,6,5,5569,,,,[NUAG] Hiraya.,Zhuxin,1,1,8,6059,,,,,Kalea,0,9,4,4592,,,,11:39:00,Blue,
141,UR Luz B,12,default,BASH HERFTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Pinnacle - Deviant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
142,UR Luz B,13,206443798172559856,URS DG Void,,,,,,,,,,,[URS] Ruru,Harith,2,1,7,9327,51922,21658,35745,[URS] Xiiiii,Hayabusa,6,2,3,11483,45054,3441,31978,,Phoveus,2,2,8,6918,21956,0,68212,,Kimmy,4,1,4,8417,37999,5141,21883,[URS] kumbaga,Chou,0,1,9,6117,8660,2237,36931,CODE SPARTAN,,,,,,,,,,,[CS] Greed,Moskov,2,2,1,7441,19332,4623,32917,[CS] Ayraaa,Fanny,1,2,1,7060,24125,0,40437,[CS] Hadesㅤ,Lukas,0,3,0,6132,18453,3890,58730,[CS] Jeymzxc,Cecilion,2,2,2,6644,39180,0,33273,[CS] Astray.,Franco,1,5,4,5422,7796,0,45803,12:24:00,Blue,
143,UR Luz B DE 1,1,723045093055429429,EEYAKIN,Mathilda,Fanny,Lukas,Jawhead,Zhuxin,Cici,Valir,Gatotkaca,Joy,Moskov,[EE] Banquirigz,Moskov,3,3,3,6346,15422,0,29834,[EE] Kyle AD,Joy,4,2,1,7521,28991,1800,42276,,Cici,0,4,5,4788,44498,1315,76680,[EE] Dwiinnn,Zhuxin,0,5,4,4822,14600,756,38020,[EE] Azicrowo.,Jawhead,1,5,4,4712,6810,0,68006,Apex Tamaraws,Fredrinn,Suyou,Kalea,Hayabusa,Gloo,Harith,Kimmy,Chip,Badang,Novaria,[APT] IShowFrinzz.p,Harith,5,2,8,8975,44259,10760,20906,,Hayabusa,6,1,6,9316,32041,8248,19653,[APT] NIKUSHIMI,Gloo,1,1,12,6335,33567,430,95214,[APT] RIESKIEEE,Novaria,4,2,11,8975,27314,3408,20451,[APT] Cid.,Badang,3,2,10,5751,29103,0,58663,10:31:00,Red,
144,UR Luz B DE 1,2,723371742498160814,EEYAKIN,Kimmy,Granger,Harith,Mathilda,Moskov,Hayabusa,Kalea,Lukas,Cecilion,Cici,[EE] Banquirigz,Moskov,2,1,2,9187,31104,2088,24439,[EE] Kyle AD,Hayabusa,2,6,3,6621,27253,0,52007,,Cici,3,5,3,6607,46775,391,81892,[EE] Dwiinnn,Cecilion,1,1,6,6546,27642,0,41771,[EE] Azicrowo.,Mathilda,0,6,8,5678,15669,0,68276,Apex Tamaraws,Badang,Chip,Phoveus,Fanny,Hilda,Selena,Gloo,Zhuxin,Khaleed,Irithel,[APT] IShowFrinzz.p,Irithel,6,2,7,10894,38062,23083,19211,,Fanny,4,0,8,10878,45185,7443,48145,[APT] NIKUSHIMI,Hilda,2,1,8,7055,34612,3414,125664,[APT] RIESKIEEE,Selena,5,2,11,7630,31585,3934,33651,[APT] Cid.,Khaleed,2,3,11,6740,20101,1674,77015,12:55:00,Red,
145,UR Luz B DE 1,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,UR Luz B DE 2,1,723306978686304160,NCST Stallions,Hayabusa,Lukas,Harith,X.Borg,Faramis,Hylos,Phoveus,Joy,Ixia,Diggie,[NCST] Nì Hào Fine Shytt,Ixia,0,4,1,6121,25126,0,38739,[NCST] Fayeeee,X.Borg,0,1,0,6569,30603,0,81822,[NCST] EÀRL,Hylos,0,1,1,4993,5833,0,60113,[NCST] hannski.,Faramis,2,1,0,5558,6048,0,25576,[NCST] ᴄᴀʀʟ.,Diggie,0,3,1,3936,8833,0,30348,Archon Esports,Fanny,Kimmy,Chip,Mathilda,Irithel,Valentina,Moskov,Karrie,Fredrinn,Masha,,Irithel,5,0,3,10110,60980,13687,25778,[PNC] dobleuzi,Fredrinn,1,1,4,6294,15858,388,42630,[PNC] Super Willz,Masha,2,1,0,8242,14395,12399,4302,,Valentina,0,0,4,5722,32855,2246,30666,[PNC] Deyl Deyl Deyl,Mathilda,2,0,5,5644,13383,3273,30296,10:40:00,Red,
147,UR Luz B DE 2,2,723669018659554659,NCST Stallions,Mathilda,Chip,Harith,Phoveus,Zhuxin,Hayabusa,Kalea,Floryn,Irithel,Gatotkaca,[NCST] Nì Hào Fine Shytt,Irithel,2,3,1,8914,31250,0,30177,[NCST] Fayeeee,Hayabusa,1,5,2,7136,23836,0,36827,[NCST] EÀRL,Phoveus,1,3,2,6103,26918,0,86588,[NCST] hannski.,Zhuxin,0,3,3,5685,20322,0,33213,[NCST] ᴄᴀʀʟ.,Gatotkaca,0,3,3,5298,19682,0,79865,Archon Esports,Karrie,Diggie,Joy,Valentina,Lukas,Moskov,Fanny,Kimmy,Cici,Hylos,,Moskov,7,0,4,12504,51948,18895,30466,[PNC] dobleuzi,Lukas,7,2,4,9880,32458,3677,36331,[PNC] Super Willz,Cici,2,0,6,8331,37701,9073,40546,,Valentina,0,1,11,7729,36904,1388,31010,[PNC] Deyl Deyl Deyl,Hylos,1,1,11,7244,11829,1030,45088,13:44:00,Red,
148,UR Luz B DE 2,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,UR Luz B DE 3,1,723240363743542920,URS DG Void,Freya,Moskov,Selena,,,,Lukas,Zhuxin,,,[URS] Ruru,Harith,7,2,5,12619,76811,13144,74625,[URS] Xiiiii,Fanny,10,0,4,13437,48826,17057,24495,,Cici,2,4,9,9165,42284,3182,101368,,Cecilion,1,5,11,8704,49155,1176,55089,[URS] kumbaga,Hylos,2,6,8,7520,28209,867,164807,NUAG Mystic,Kalea,Kimmy,Chip,,,,Jawhead,Mathilda,,,[NUAG] snjwu_,Ruby,5,5,8,9376,59147,81,106924,[NUAG] Zolk Sinatra.,Joy,4,5,0,10904,28731,0,66491,[NUAG] Balot,Phoveus,4,5,7,7698,63411,0,165441,[NUAG] Яeverse.,Novaria,3,3,8,8319,54539,0,20607,[NUAG] Rez.,Badang,1,4,14,6978,42035,0,108536,15:12:00,Blue,
150,UR Luz B DE 3,2,723884325370103987,URS DG Void,Freya,Selena,Lukas,Phoveus,Mathilda,Valir,Hylos,Cici,Moskov,Baxia,[URS] Ruru,Moskov,4,2,2,11403,58811,31354,46813,[URS] Xiiiii,Baxia,3,2,7,7780,47252,0,165348,,Phoveus,1,3,4,6437,53793,0,119768,,Valir,3,2,4,7612,46759,0,41751,[URS] kumbaga,Mathilda,2,3,9,6333,23288,631,57918,NUAG Mystic,Chip,Kalea,Fanny,Kimmy,Floryn,Fredrinn,Harith,Hayabusa,Irithel,Gloo,[NUAG] snjwu_,Irithel,4,2,4,10181,56005,20875,59832,[NUAG] Zolk Sinatra.,Fredrinn,4,2,6,8939,54722,200,147516,[NUAG] Balot,Gloo,2,5,3,6341,27490,0,134329,[NUAG] Яeverse.,Kimmy,1,1,10,8326,43538,4419,44475,[NUAG] Rez.,Floryn,1,3,11,6376,9380,1472,49297,13:03:00,Blue,
151,UR Luz B DE 3,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
